Latitude,Longitude,Company
"29° 08' 00.70"" S","56° 32' 38.10"" W",Mobile-1
"30° 07' 49.62"" S","51° 14' 34.62"" W",Mobile-1
"30° 59' 39.98"" S","52° 03' 02.99"" W",Mobile-1
"28° 17' 25.00"" S","52° 47' 46.00"" W",Mobile-1
"27° 50' 16.98"" S","53° 46' 46.02"" W",Mobile-1
"28° 20' 48.98"" S","51° 52' 03.97"" W",Mobile-1
"30° 02' 19.97"" S","51° 12' 49.00"" W",Mobile-1
"29° 52' 28.10"" S","51° 11' 24.00"" W",Mobile-1
"29° 59' 01.97"" S","51° 11' 28.00"" W",Mobile-1
"29° 10' 06.80"" S","51° 10' 58.00"" W",Mobile-1
"29° 17' 51.00"" S","51° 29' 54.00"" W",Mobile-1
"31° 45' 26.39"" S","52° 30' 13.39"" W",Mobile-1
"31° 42' 40.79"" S","52° 20' 53.38"" W",Mobile-1
"30° 01' 46.69"" S","51° 12' 55.91"" W",Mobile-1
"31° 40' 40.08"" S","54° 04' 32.88"" W",Mobile-1
"30° 01' 05.99"" S","51° 15' 19.98"" W",Mobile-1
"28° 09' 01.98"" S","54° 44' 43.98"" W",Mobile-1
"32° 14' 15.70"" S","53° 04' 46.00"" W",Mobile-1
"29° 03' 00.00"" S","50° 08' 12.00"" W",Mobile-1
"32° 04' 31.98"" S","52° 55' 43.00"" W",Mobile-1
"29° 50' 03.25"" S","51° 08' 23.91"" W",Mobile-1
"30° 02' 45.96"" S","51° 12' 11.12"" W",Mobile-1
"31° 30' 20.90"" S","52° 36' 54.54"" W",Mobile-1
"29° 44' 28.80"" S","51° 09' 41.80"" W",Mobile-1
"30° 50' 27.00"" S","51° 49' 19.00"" W",Mobile-1
"30° 01' 44.90"" S","51° 11' 27.49"" W",Mobile-1
"27° 40' 39.00"" S","53° 48' 06.00"" W",Mobile-1
"32° 02' 22.50"" S","52° 06' 24.09"" W",Mobile-1
"29° 40' 04.00"" S","52° 47' 09.00"" W",Mobile-1
"31° 23' 49.99"" S","52° 41' 17.99"" W",Mobile-1
"31° 04' 17.98"" S","52° 59' 35.99"" W",Mobile-1
"27° 43' 04.00"" S","53° 42' 12.90"" W",Mobile-1
"30° 07' 36.90"" S","51° 21' 08.87"" W",Mobile-1
"28° 24' 44.60"" S","54° 56' 36.70"" W",Mobile-1
"31° 14' 55.00"" S","52° 00' 45.97"" W",Mobile-1
"30° 00' 06.48"" S","51° 08' 07.66"" W",Mobile-1
"30° 12' 58.80"" S","50° 13' 11.35"" W",Mobile-1
"28° 59' 50.30"" S","51° 41' 53.10"" W",Mobile-1
"30° 21' 57.00"" S","53° 39' 55.00"" W",Mobile-1
"29° 26' 07.98"" S","52° 00' 32.98"" W",Mobile-1
